260	179	619	479	16
142	132	580	479	1
127	7	594	477	1
124	150	534	479	1
434	137	634	479	4
13	2	597	478	1
8	47	202	477	1
221	23	554	476	2
66	0	549	473	1
0	189	113	476	3
0	108	169	395	1
293	228	625	477	1
0	240	114	477	4
150	44	639	476	2
11	1	404	478	1
407	208	625	479	3
376	301	619	479	2
313	0	574	479	13
161	190	371	479	2
120	168	302	477	9
314	160	639	474	1
189	280	479	479	8
388	142	639	477	6
87	332	269	479	3
31	323	215	479	4
493	128	639	478	11
202	205	445	479	12
243	265	531	479	3
8	145	269	479	7
439	52	639	473	2
146	49	482	477	2
332	155	518	479	7
167	22	470	468	3
418	102	639	478	1
343	65	474	479	2
159	10	409	473	6
