288	87	820	716	236
288	87	820	717	232
211	0	639	479	6
132	125	577	476	1
182	4	583	475	1
69	133	504	477	1
379	118	639	479	4
178	11	601	476	1
1	45	186	476	1
187	46	603	479	2
278	2	634	477	1
0	190	82	479	1
1	185	111	478	3
2	153	175	412	1
238	82	623	478	1
0	10	86	479	2
212	181	543	478	4
96	43	635	479	2
280	130	528	477	1
333	44	639	479	3
3	334	30	479	16
2	155	106	475	9
519	115	639	474	8
66	330	256	479	3
162	356	290	479	6
494	166	626	479	11
278	267	534	478	3
476	332	602	479	5
0	13	246	462	12
188	49	397	479	3
115	42	407	475	3
444	97	635	476	1
160	8	446	476	6
