1157	167	1234	312	61
803	199	882	352	85
380	293	451	452	115
318	96	387	223	135
124	94	191	211	140
712	36	776	150	161
33	52	103	150	162
977	105	1038	277	165
144	43	639	479	1
21	43	384	479	6
1157	167	1234	312	61
803	199	882	352	85
380	293	451	452	115
318	96	387	223	135
124	94	191	211	140
711	36	777	150	157
33	52	103	150	161
977	105	1038	277	164
475	0	1279	710	3
181	65	585	474	1
319	354	461	479	6
86	132	531	479	1
37	100	571	479	1
0	32	206	478	1
276	88	541	476	3
23	87	528	473	2
315	80	637	475	5
86	81	548	479	1
216	6	632	477	5
184	8	579	475	1
42	19	610	478	1
23	0	137	316	1
287	0	639	479	1
0	209	43	438	1
0	177	131	479	1
53	0	464	477	1
299	121	639	477	1
116	2	540	475	1
2	21	281	478	2
356	177	579	477	1
341	241	574	479	1
91	144	534	479	1
397	117	639	478	1
206	16	575	479	3
281	122	631	302	1
256	323	432	479	9
192	208	452	478	2
15	20	534	478	1
83	66	639	474	1
166	415	283	479	2
0	441	87	479	3
126	401	256	479	14
15	247	251	477	9
58	189	625	479	2
71	286	240	479	2
184	324	382	479	2
292	317	483	479	3
0	287	106	479	6
434	322	636	479	3
6	297	156	479	3
2	231	76	478	3
380	228	635	479	4
81	235	318	478	5
378	280	620	479	3
238	208	499	479	7
346	193	639	433	5
0	133	165	478	1
169	83	484	478	1
0	49	162	476	3
0	67	305	476	5
70	105	293	476	1
411	21	639	476	6
235	172	415	479	2
314	91	602	476	1
147	98	608	477	17
528	286	639	473	20
228	30	533	479	3
101	3	419	476	3
490	195	639	479	1
112	68	331	479	2
7	0	112	479	5
200	52	440	478	6
