18	27	74	169	33
368	352	468	540	61
209	54	270	202	74
80	281	157	456	77
150	157	224	336	115
224	365	313	550	170
1072	0	1125	116	173
450	172	545	340	175
180	37	619	479	1
11	47	380	479	6
368	352	468	540	61
209	54	270	202	74
150	157	223	335	77
18	27	75	169	115
80	281	157	456	116
224	365	313	550	169
1072	0	1125	116	171
450	172	545	340	173
289	73	923	717	1
539	94	637	366	3
219	139	639	479	1
82	75	316	479	1
30	91	481	479	1
352	57	638	479	4
17	2	592	479	1
152	29	592	476	1
5	39	227	478	2
0	201	232	479	1
0	49	217	476	1
0	35	84	472	1
141	48	355	477	1
298	106	639	479	1
123	84	395	477	4
176	7	588	476	1
0	7	101	471	2
219	12	547	479	2
83	119	352	477	1
238	171	639	476	1
0	134	448	478	1
132	166	461	479	1
47	141	354	479	3
266	322	440	479	9
194	203	448	478	2
206	115	638	476	8
340	55	637	476	3
0	102	503	476	1
460	315	639	479	3
0	301	156	479	2
363	303	595	479	3
575	273	639	479	6
578	299	639	479	3
133	268	369	479	2
518	231	638	478	3
52	203	499	479	9
211	277	426	479	3
528	167	639	479	6
12	120	287	477	1
93	85	489	478	1
472	37	595	479	2
202	0	532	475	2
385	97	639	473	5
32	36	422	466	12
73	125	346	477	4
339	208	533	479	4
137	86	368	478	3
101	3	414	478	1
505	180	639	479	1
242	100	444	478	2
0	56	156	479	5
138	91	355	476	2
596	326	639	473	2
259	78	468	479	3
