153	2	204	130	33
340	387	436	579	61
289	22	343	157	74
119	310	199	485	77
261	141	326	304	115
284	422	389	635	116
247	437	349	622	170
1172	2	1217	87	173
646	138	719	299	175
175	36	619	478	1
16	46	384	479	6
340	387	436	579	61
289	22	343	157	74
261	141	326	304	77
153	2	204	130	115
119	310	199	485	116
268	427	378	631	169
1172	2	1217	87	171
646	138	719	299	173
335	64	1001	716	1
305	289	598	479	1
321	232	626	478	1
0	31	217	477	1
31	88	483	479	1
350	56	639	479	4
5	4	580	475	1
189	31	617	475	1
24	97	260	479	2
13	129	195	478	1
0	42	83	473	1
158	44	370	479	1
294	108	624	479	1
108	84	398	477	4
145	4	606	471	1
193	53	485	475	2
275	111	548	479	1
279	134	639	479	1
93	180	488	478	1
143	167	458	479	1
179	86	541	476	3
93	0	449	290	2
224	322	419	479	9
180	177	452	478	2
186	109	631	478	8
0	87	486	474	1
443	302	637	479	3
508	1	638	210	7
2	297	163	479	2
240	314	467	479	2
231	318	427	476	4
220	348	414	479	4
274	321	469	479	1
174	270	393	479	2
324	183	630	360	9
303	217	565	478	3
236	235	489	477	1
6	120	290	478	1
2	85	336	476	1
0	70	121	479	2
427	62	639	477	5
101	171	277	479	6
289	214	468	478	2
220	381	286	479	8
193	78	620	479	1
19	0	252	470	2
299	90	545	478	7
179	3	513	473	1
503	188	635	476	1
237	102	444	478	2
5	69	165	479	5
166	39	366	478	10
363	0	594	479	3
